Theta1,Theta2,Theta3,x0,y0,z0
-40,-20,24,245.6093931,230.7242966,-691.6699899
-40,-20,28,260.8441028,255.6050781,-688.6313519
-40,-20,32,276.2590412,281.044004,-684.5486489
-40,-20,36,291.8223279,307.0070703,-679.3592176
-40,-20,40,307.4995199,333.4560051,-673.0012191
-40,-20,44,323.2535833,360.3481241,-665.4140261
-40,-20,48,339.0448932,387.636222,-656.5386305
-40,-20,52,354.8312576,415.2685015,-646.3180668
-40,-20,56,370.5679701,443.1885416,-634.6978452
-40,-20,60,386.2078865,471.3353059,-621.6263867
-40,-20,64,401.7015278,499.6431916,-607.0554547
-40,-20,68,416.9972059,528.0421196,-590.9405751
-40,-20,72,432.0411721,556.4576633,-573.2414362
-40,-20,76,446.7777846,584.8112159,-553.9222625
-40,-20,80,461.1496914,613.0201929,-532.9521502
-40,-16,-40,54.24458124,-93.95437074,-651.3906329
-40,-16,-36,64.228052,-80.13081115,-657.1165325
-40,-16,-32,74.66188212,-65.56812422,-662.7331494
-40,-16,-28,85.53231051,-50.27087796,-668.1865041
-40,-16,-24,96.82649794,-34.24225318,-673.4227937
-40,-16,-20,108.5320899,-17.48461035,-678.3880187
-40,-16,-16,120.6368302,0,-683.0276826
-40,-16,-12,133.1282145,18.20936971,-687.286556
-40,-16,-8,145.9931776,37.1406983,-691.1085007
-40,-16,-4,159.2178077,56.79018397,-694.4363491
-40,-16,0,172.7870845,77.15263536,-697.2118362
-40,-16,4,186.6846392,98.22110096,-699.3755824
-40,-16,8,200.8925339,119.9865145,-700.867124
-40,-16,12,215.39106,142.4373553,-701.6249909
-40,-16,16,230.158557,165.5593252,-701.5868299
-40,-16,20,245.1712486,189.3350409,-700.6895715
-40,-16,24,260.4031015,213.7437459,-698.8696376
-40,-16,28,275.8257028,238.7610426,-696.0631905
-40,-16,32,291.4081617,264.3586468,-692.2064172
-40,-16,36,307.1170324,290.5041685,-687.2358487
-40,-16,40,322.9162622,317.1609201,-681.0887086
-40,-16,44,338.767164,344.2877559,-673.7032887
-40,-16,48,354.6284143,371.8389436,-665.0193455
-40,-16,52,370.4560765,399.7640721,-654.9785126
-40,-16,56,386.2036507,428.0079954,-643.5247237
-40,-16,60,401.8221475,456.5108151,-630.6046397
-40,-16,64,417.2601872,485.2079014,-616.1680716
-40,-16,68,432.464121,514.0299536,-600.1683938
-40,-16,72,447.3781736,542.9030993,-582.5629386
-40,-16,76,461.9446033,571.7490298,-563.3133622
-40,-16,80,476.1038775,600.4851707,-542.3859744
-40,-12,-40,64.74384777,-112.1396338,-653.9691982
-40,-12,-36,75.0731989,-98.31314476,-659.9849465
-40,-12,-32,85.84803236,-83.75314565,-665.8870023
-40,-12,-28,97.05417098,-68.46195295,-671.6217991
-40,-12,-24,108.6782414,-52.44067673,-677.1358835
-40,-12,-20,120.7072514,-35.6897434,-682.375552
-40,-12,-16,133.1282145,-18.20936971,-687.286556
-40,-12,-12,145.9278136,0,-691.8138696
-40,-12,-8,159.0920961,18.93728412,-695.9015152
-40,-12,-4,172.6061942,38.60037552,-699.4924412
-40,-12,0,186.4540697,58.9857702,-702.5284516
-40,-12,4,200.6182781,80.08821007,-704.9501825
-40,-12,8,215.0797521,101.9003383,-706.6971258
-40,-12,12,229.8176041,124.4123668,-707.7076978
-40,-12,16,244.8089463,147.6117561,-707.9193513
-40,-12,20,260.0287299,171.4829091,-707.2687301
-40,-12,24,275.4496039,196.0068793,-705.691864
-40,-12,28,291.0417933,221.161097,-703.1244019
-40,-12,32,306.7729996,246.9191145,-699.5018824
-40,-12,36,322.6083224,273.2503734,-694.7600365
-40,-12,40,338.5102048,300.1199969,-688.8351219
-40,-12,44,354.4384023,327.4886092,-681.6642828
-40,-12,48,370.3499763,355.3121845,-673.1859328
-40,-12,52,386.1993124,383.5419287,-663.3401541
-40,-12,56,401.9381634,412.1241949,-652.0691088
-40,-12,60,417.5157162,441.0004345,-639.3174554
-40,-12,64,432.8786831,470.1071857,-625.0327635
-40,-12,68,447.9714137,499.3760989,-609.1659193
-40,-12,72,462.7360274,528.7339993,-591.6715137
-40,-12,76,477.1125627,558.1029862,-572.5082022
-40,-12,80,491.0391389,587.400566,-551.6390288
-40,-8,-40,75.63937925,-131.0112479,-656.1270273
-40,-8,-36,86.31466491,-117.1879145,-662.4308483
-40,-8,-32,97.42898666,-102.6365496,-668.615964
-40,-8,-28,108.9677721,-87.35729293,-674.6293938
-40,-8,-24,120.9171415,-71.34923707,-680.4182107
-40,-8,-20,133.2635007,-54.61090704,-685.9291861
-40,-8,-16,145.9931776,-37.1406983,-691.1085007
-40,-8,-12,159.0920961,-18.93728412,-695.9015152
-40,-8,-8,172.5454792,0,-700.2525947
-40,-8,-4,186.337577,19.67078893,-704.1049848
-40,-8,0,200.4514163,40.07333368,-707.4007343
-40,-8,4,214.8685697,61.20415776,-710.080665
-40,-8,8,229.5689427,83.0577227,-712.0843848
-40,-8,12,244.5305781,105.6261023,-713.3503442
-40,-8,16,259.7294775,128.8986658,-713.815934
-40,-8,20,275.139441,152.8617715,-713.4176244
-40,-8,24,290.7319242,177.4984715,-712.0911428
-40,-8,28,306.4759152,202.7882297,-709.7716885
-40,-8,32,322.3378303,228.7066565,-706.3941848
-40,-8,36,338.2814322,255.2252604,-701.8935624
-40,-8,40,354.2677682,282.3112216,-696.2050754
-40,-8,44,370.2551326,309.9271881,-689.2646422
-40,-8,48,386.1990514,338.0310987,-681.0092121
-40,-8,52,402.0522911,366.5760344,-671.3771479
-40,-8,56,417.7648911,395.5101002,-660.3086239
-40,-8,60,433.2842188,424.7763409,-647.74603
-40,-8,64,448.5550484,454.3126902,-633.6343764
-40,-8,68,463.5196586,484.0519557,-617.9216904
-40,-8,72,478.1179506,513.9218391,-600.5593976
-40,-8,76,492.2875809,543.8449918,-581.502676
-40,-8,80,505.9641042,573.7391035,-560.7107724
-40,-4,-40,86.92361556,-150.5561185,-657.8095312
-40,-4,-36,97.94383106,-136.743488,-664.3988784
-40,-4,-32,109.3950499,-122.2081945,-670.8640274
-40,-4,-28,121.2623371,-106.948281,-677.1527666
-40,-4,-24,133.5313483,-90.96087991,-683.2128819
-40,-4,-20,146.1879375,-74.24265104,-688.9918089
-40,-4,-16,159.2178077,-56.79018397,-694.4363491
-40,-4,-12,172.6061942,-38.60037552,-699.4924412
-40,-4,-8,186.337577,-19.67078893,-704.1049848
-40,-4,-4,200.395415,0,-708.2177104
-40,-4,0,214.7619017,20.4120661,-711.7730955
-40,-4,4,229.4177376,41.56380514,-714.7123234
-40,-4,8,244.3419203,63.45160969,-716.9752833
-40,-4,12,259.5115493,86.06955031,-718.5006118
-40,-4,16,274.9016483,109.4090621,-719.225773
-40,-4,20,290.4850018,133.4586374,-719.0871782
-40,-4,24,306.2320095,158.2035263,-718.0203425
-40,-4,28,322.1105578,183.6254464,-715.9600786
-40,-4,32,338.0859097,209.7023041,-712.8407253
-40,-4,36,354.1206136,236.4079295,-708.5964087
-40,-4,40,370.1744328,263.711828,-703.161335
-40,-4,44,386.2042957,291.5789513,-696.4701109
-40,-4,48,402.1642687,319.9694895,-688.4580879
-40,-4,52,418.0055497,348.8386885,-679.0617279
-40,-4,56,433.6764858,378.1366939,-668.2189831
-40,-4,60,449.1226115,407.8084251,-655.8696862
-40,-4,64,464.2867093,437.7934796,-641.9559425
-40,-4,68,479.1088889,468.0260712,-626.4225169
-40,-4,72,493.526684,498.4350006,-609.2172067
-40,-4,76,507.4751629,528.9436598,-590.2911881
-40,-4,80,520.887048,559.4700684,-569.5993254
-40,0,-40,98.58843134,-170.7601721,-658.961279
-40,0,-36,109.9514082,-156.9671464,-665.8327912
-40,0,-32,121.7357557,-142.4567598,-672.5742568
